name,most_common_word
Hot Dog Guy,pawn
Cell Phone Sales Person,thing
Boom Box,temp
Andy and Erin,bursting
Holly's Mom,friend
Holly's Dad,holly
Deangelo,yeah
Deangelo/Michael,unison
Denagelo,whispering
Darryl's sister,hey
DeAngelo,michael
Audience,speech
Together,showtime
Erin and Kelly,cups
abe,erin
Rory,bring
DeAgnelo,andy
Jordan,yeah
Dwight [on phone],mose
Mose [on phone],aaaaahhhhh
All but Oscar,god
Darryl and Angela,Does not use words
Fred Henry,absolutelyi
Fred,plan
Warren Buffett,salary
Warren,mileage
Robert California,dwight
Merv Bronte,cafe
Merv,job
Nellie Bertram,cubicle
Nellie,dwight
Finger Lakes Guy,finger
Pam as fourth-biggest client,comedic
Pam as ninth-biggest client,paper
Darryl & Oscar,expense
Tattoo Artist,coming
Female Applicant,crew
Male Applicant 1,wait
Male Applicant 2,drivers
Gideon,north
Bruce,Does not use words
Dwight, Erin, Jim & Kevin,dwight
Walter,uh
Ellen,thought
Walter Jr,andys
Andy & Walter,knew
Walter & Walter Jr,singing
Erin's Cell Phone,call
Bert,yeah
Gabe/Kelly/Toby,dem
Andy/Pam,time
Andy/Stanley,singing
Val,yeah
Warehouse Crew,thirrrrthird
Cathy,jim
Offscreen,good
Curtis,yeah
Drummer,eagles
Pam and Kelly,crotch
Old Man,uh
Andy and Darryl,baby
Darryl and Kevin,day
Park Ranger,great
Chelsea,taps
Archivist,schrute
Narrator,battle
Soldier,dearest
Amanda,men
Susan,robert
Andy/Oscar,mistake
Bob's Secretary,bob
Mrs. California,insulting
Host,einsteins
Queerenstein Bears,whoo
Oscar's friend,whoo
Stu,grab
Stonewall Host,kevin
Meredith & Kelly,threeteam
Einsteins,whoo
Senator Lipton,call
Ernesto,pulls
Officer Foley,understand
Andy, Darryl & Officer Foley,stream
Saleswoman,Does not use words
Emergency Operator,sir
Paramedic,operation
Donna Muraski,andrew
Wally Amos,aloha
Angela/Pam,unbelievable
Brandon,val
Blogger,yeah
Blogger 2,perfect
Lady Blogger,patty
Patty,Does not use words
Old Lady,costco
Others,yeah
Elderly Woman,rises
Irene,takes
Alonzo,good
Glenn,postage
Erin and Irene,screaming
Kevin & Meredith,unison
Lauren,andy
Party guests,pop
Magician,huh
Ravi,ryan
Robert & Creed,unison
Wrangler,turn
Senator,oscar
Vet,daisy
Harry,stay
Mr. Ramish,paper
Calvin,man
Off-camera,yeah
Rafe,iceman
Fake Jim,dwight
Voicemail,enter
Nellie and Pam,giggling
Group: Dunder Mifflin!
Andy: Andy Bernard presents: Summer Softball Epic Fails! [Kevin swings bat on screen, fart noise follows] Fail. [repeats] Fail,kevin
[repeats]
Andy: Fail,oscar
[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry,andy
Phyllis, Kevin & Stanley,pies
HCT,singing
HCT Member #1,aids
HCT Member #2,thought
Broccoli Rob,pipes
Businessman #1,workspace
Businessman #2,graphic
Businessman #3,guys
HCT Member #3,broccoli
White,hope
Boat Guy,rig
Walt Jr.,god
Senator Liptop,oscar
Guys in breakroom,laughter
Business partner,phone
Molly,god
Colin,phone
Trevor,gonna
Julius Irving,hope
New Instant Message,stone
Suit Store Father,son
Athlead Employee,darryl
Dennis,reach
Wade,Does not use words
Suit Store Son,hey
Female Athlead Employee,science
3rd Athlead Employee,work
4th Athlead Employee,laywer
Co-worker,jim
Co-worker #2,uh
Mr. Romanko,rage
Dance Teacher,ladies
Ballerinas,Does not use words
Parent in Audience,Does not use words
Parent in audience #2,rude
Parent in audience #1,rude
Investor,listen
Lonnie,hey
Fast Food Worker,milkshake
Drive Thru Customer,fire
Brian,yeah
Cameraman,brian
Rolf,rolf
Gabor,mymy
Zeke,mose
Melvina,babysitter
Wolf,paintball
Sensei Ira,Does not use words
Pam & Dwight,laughs
Frank,butts
Party Announcer,ladies
Party Guest,close
Party Photographer,uh
Party Waiter,sean
Nail stylist 1,tiny
Nail stylist 2,clark
Nail manager,men
Shirley,big
Athlead Coworker,hey
Roger,heard
Alice,marketing
Oscar's Computer,grandfather
Jeb,soil
German Minister,woman
Fannie,dwight
Henry,hat
Esther,dwight
Aunt Shirley,fannie
Cameron,dwight
Promo Voice,michael
Ryan Howard,eat
Mr. Ruger,fine
Promo Announcer,speaks
Ruger Sister 1,manipulates
Salesmen,lift
Ruger Sister 2,buy
Angela & Oscar,honey
Reporter #1,gay
Reporter #2,question
Mrs. Davis,stanley
Phillip,mama
Carla Fern,andy
Director,rolling
Producer,yeah
Bob Vance, Vance Refrigeration,baby
Production Assistant,andy
Sensei,dwight
Philip,mama
Check-in guy,ahead
Casey,casey
Mark McGrath,cappella
Jim & Dwight,sea
Camera Crew,man
People in line,hey
Santigold,gabriella
Aaron Rodgers,man
Clay Aiken,hear
CameraMan,bonus
Malcolm,love
Casey Dean,sit
Bill Hader,crying
Seth Mayers,baby
Dakota,symbol
Stripper,boys
Jakey,heard
Man 1,feel
Woman 1,jim
Woman 2,jim
Man 2,pam
Moderator,wonderful
Man 3,find
Woman 3,wanna
Woman 4,jim
Joan,erin
Minister,doves
Carol Stills,pam
